Nome;Ativo;Último;Compra;Venda;Variação;Variação %;Hora;
ABC Brasil;ABCB4;15,22;15,2;15,4;-0,08;-0,52%;19:45:00;
Alpargatas;ALPA4;13;12,85;13,32;0,35;+2,77%;19:45:00;
Aliansce;ALSC3;15,81;14,99;16;-0,12;-0,75%;19:45:01;
Alupar;ALUP11;16,11;15,5;16,6;-0,12;-0,74%;19:45:01;
Lojas Marisa;AMAR3;4,07;4,01;4,08;0,07;+1,75%;19:45:00;
Anima;ANIM3;14,69;14,12;15,4;-0,15;-1,01%;19:45:00;
Arezzo;ARZZ3;43,05;40;45,13;-0,95;-2,16%;19:45:00;
Azul;AZUL4;24,99;24,1;25,25;0,19;+0,77%;19:45:00;
Minerva;BEEF3;4,96;4,95;5,04;-0,05;-1,00%;19:45:00;
BK Brasil;BKBR3;13,01;12,83;13,44;-0,04;-0,31%;19:45:01;
Bradespar;BRAP4;35,1;34,43;35,14;-0,97;-2,69%;19:45:01;
BR Malls Par;BRML3;10,49;10,3;10,55;-0,19;-1,78%;19:45:00;
BR Properties;BRPR3;6,69;6,62;6,7;-0,01;-0,15%;19:45:01;
Banrisul;BRSR6;17,1;16,2;17;0,02;+0,12%;19:45:00;
Camil;CAML3;7,46;7,4;7,47;0,1;+1,36%;19:45:01;
CESP;CESP6;14,25;14,05;14,53;-0,07;-0,49%;19:45:00;
Copel;CPLE6;24,1;23,49;24,85;0,05;+0,21%;19:45:01;
Copasa;CSMG3;44,35;43;44,99;1,7;+3,99%;19:45:00;
CVC Brasil;CVCB3;48;47,51;48,25;2,2;+4,80%;19:45:00;
Cyrela;CYRE3;11,99;11,75;12,15;-0,05;-0,42%;19:45:00;
Direcional;DIRR3;6,6;6,3;6,66;0,02;+0,30%;19:45:01;
Dommo Energia;DMMO3;1,44;1,43;1,45;-0,03;-2,04%;19:45:00;
Duratex;DTEX3;9,76;9,6;9,79;-0,44;-4,31%;19:45:00;
Ecorodovias;ECOR3;7,68;7,6;7,69;0;+0,00%;19:45:00;
Energias BR;ENBR3;13,8;13,55;13,95;-0,02;-0,14%;19:45:01;
Eneva;ENEV3;13,3;13;13,55;-0,1;-0,75%;19:45:00;
Estácio Participações;ESTC3;25,7;25,6;26,2;-0,1;-0,39%;19:45:00;
Even;EVEN3;3,48;3,37;3,54;0,06;+1,75%;19:45:01;
Eztec;EZTC3;18,85;18,8;18,84;0,23;+1,24%;17:59:00;
Ferbasa;FESA4;19,65;19,38;19,86;-0,15;-0,76%;19:45:00;
Fleury;FLRY3;21,68;21,6;22,35;-0,2;-0,91%;19:45:00;
Gafisa;GFSA3;11,5;11,01;11,55;0,04;+0,35%;19:45:00;
Gerdau Met;GOAU4;7,71;7,7;7,75;-0,16;-2,03%;19:45:00;
Gol;GOLL4;12,4;12,3;12,5;0,25;+2,06%;19:45:00;
Grendene;GRND3;7,01;6,97;7,02;0,07;+1,01%;19:45:00;
Guararapes;GUAR3;114,5;111,51;117,99;-0,04;-0,03%;19:45:00;
Helbor;HBOR3;1,11;1,08;1,11;0,03;+2,78%;16:54:55;
Cia Hering;HGTX3;18,15;18;18,33;-0,22;-1,20%;19:45:00;
Iguatemi;IGTA3;32,4;31,83;33;-0,34;-1,04%;19:45:01;
Metal Leve;LEVE3;24,33;24;25,5;-0,41;-1,66%;19:45:00;
Light;LIGT3;14,13;13,8;14,32;0,03;+0,21%;19:45:00;
Linx;LINX3;17,31;17;17,99;-0,44;-2,48%;19:45:01;
IMC S/A;MEAL3;6,6;6,29;6,79;0,01;+0,15%;19:45:01;
Movida;MOVI3;6,42;6,33;6,54;-0,04;-0,62%;19:45:00;
Multiplus;MPLU3;24,7;24,46;24,9;-0,05;-0,20%;19:45:00;
Marfrig;MRFG3;5,17;5,1;5,2;-0,01;-0,19%;19:45:00;
MRV;MRVE3;13,3;13,1;13,43;-0,11;-0,82%;19:45:00;
Iochpe Maxion;MYPK3;20,11;19,93;20,38;-0,13;-0,64%;19:45:00;
Odontoprev;ODPV3;12,82;12,5;12,91;0,15;+1,18%;19:45:01;
Omega Ger;OMGE3;15,19;14,6;15,9;0,15;+1,00%;19:45:00;
Ihpardini;PARD3;16,12;15,7;16,2;-0,02;-0,12%;19:45:01;
Marcopolo;POMO4;3,67;3,62;3,67;-0,02;-0,54%;19:45:00;
Petro Rio;PRIO3;107,1;104;112;-4,9;-4,38%;19:45:00;
Portobello;PTBL3;4,34;4,32;4,35;-0,02;-0,46%;19:45:00;
QGEP Part;QGEP3;13,1;13,01;13,38;0,16;+1,24%;19:45:00;
Qualicorp;QUAL3;13;12,75;13;0,6;+4,84%;19:45:00;
Randon Part;RAPT4;7,53;7,2;7,59;0,12;+1,62%;19:45:00;
Cosan Log;RLOG3;10,5;9,27;10,75;-0,03;-0,28%;19:45:01;
Sanepar UNT;SAPR11;43,5;43;43,92;0,37;+0,86%;19:45:00;
Ser Educa;SEER3;17,02;16,6;17,24;0,04;+0,24%;19:45:00;
SLC Agrícola;SLCE3;55,07;54,15;57,2;-2,07;-3,62%;19:45:00;
Smiles ON;SMLS3;50,52;48,14;51;1,4;+2,85%;19:45:00;
Sao Martinho;SMTO3;17,68;17,45;17,92;-0,07;-0,39%;19:45:00;
Santos BRP;STBP3;2,78;2,7;2,8;0,03;+1,09%;19:45:01;
Sul America;SULA11;24,51;24,23;24,71;-0,24;-0,97%;19:45:01;
Taesa;TAEE11;21,37;21,23;21,5;-0,08;-0,37%;19:45:00;
Tecnisa ON;TCSA3;1,03;1,02;1,05;-0,01;-0,96%;19:45:00;
Tenda;TEND3;29,75;24,15;30;0,13;+0,44%;19:45:01;
Tegma;TGMA3;18,8;18,2;18,95;-0,07;-0,37%;19:45:00;
AES Tietê;TIET11;9,84;9,8;9,94;-0,03;-0,30%;19:45:00;
TOTVS;TOTS3;25,17;24,63;26,5;-0,18;-0,71%;19:45:01;
Tupy;TUPY3;19,6;19,53;20;-0,7;-3,45%;19:45:00;
Unipar;UNIP6;41,38;39,9;41,6;0,44;+1,07%;19:45:00;
Valid;VLID3;14,27;13,9;14,54;0,04;+0,28%;19:45:00;
Vulcabras;VULC3;5,48;5,45;5,55;0,08;+1,48%;19:45:00;
Via Varejo;VVAR11;13,82;13,6;14,2;-0,08;-0,58%;19:45:00;
Wiz S.A.;WIZS3;8,23;8,12;8,3;-0,08;-0,96%;19:45:00;
